,orderNumber,jobNumber,partNumber,partDescription,quantity,dueDate,comments,customerCode,PONumber,dateEntered,notesToCustomer,location,productCode,priority,unitPrice,miscDescription,quantityOrdered,quantityToStock,totalEstimatedHours,user_Text2,jobOnHold
255,18806,18806-07,MOR-RAD-EXT,"RAD-EXT, A-04325-806, RADIATOR EXTENSION FOR CATERPILLAR C7.1 ENGINE",15,2024-05-01T04:00:00Z,KANBAN,MOROOKA,24579,2024-03-20T15:49:47.947Z,,MAIN,PROD-HNS-W2,40,27.34,da-r,15,0,2.4178728461265564,kbn,False
256,18806,18806-01,MOR-AT1-EXT,"AT1-EXT, A-04325-804, AFTERTREATMENT EXTENSION FOR CATERPILLAR C7.1 ENGINE",10,2024-05-01T04:00:00Z,KANBAN,MOROOKA,24579,2024-03-20T15:49:47.947Z,,MAIN,PROD-HNS-W2,40,27.83,da-r,15,0,2.3137062042951584,kbn,False
257,18806,18806-02,MOR-AT2-EXT,"AT2-EXT, A-04325-805, AFTERTREATMENT EXTENSION FOR CATERPILLAR C7.1 ENGINE",10,2024-05-01T04:00:00Z,KANBAN,MOROOKA,24579,2024-03-20T15:49:47.947Z,,MAIN,PROD-HNS-W2,40,25.42,da-r,15,0,2.4189693480730057,kbn,False
258,18806,18806-05,MOR-INTAKE-EXT,"INTAKE-EXT, A-04225-882, EXTENSION FOR C7.1 AIR INTAKE",7,2024-05-01T04:00:00Z,KANBAN,MOROOKA,24579,2024-03-20T15:49:47.947Z,,MAIN,PROD-HNS-W2,40,21.15,da-r,10,0,2.2070176005363464,kbn,False
259,18806,18806-04,MOR-DIAG-EXT,"DIAG-EXT, A-08625-808, DIAGNOSTIC EXTENSION HARNESS FOR C3.6 ENGINE",2,2024-05-01T04:00:00Z,KANBAN,MOROOKA,24579,2024-03-20T15:49:47.947Z,,MAIN,PROD-HNS-W2,40,55.61,da,5,0,2.754861131310463,kbn,False
264,18822,18822-01,MOR-4000-BATTERY,"4000-BATTERY, A-08525-920-9PCS, BATTERY CABLE SET FOR 4000 VD",1,2024-05-08T04:00:00Z,KANBAN,MOROOKA,24595,2024-03-27T12:51:04.093Z,,MAIN,PROD-POWER,40,625.84,n/a,3,0,1.1375000327825546,date,False
265,18823,18823-01,MOR-C9.3-DEF,"***use STG5-DEF-EXT*** C9.3-DEF, A-08525-801, DEF EXTENSION FOR CAT C9.3 ENGINE (used on 4000 & 4500 vehicles)",1,2024-05-08T04:00:00Z,KANBAN,MOROOKA,24595,2024-03-27T12:58:38.107Z,,MAIN,PROD-HNS-W2,40,235.92,da-ixr,3,0,3.2108333706855774,date,False
266,18823,18823-02,MOR-4000-ECM,"4000-ECM, A-08525-800, ECM HARNESS FOR CHASSIS & C9.3B ENGINE",1,2024-05-08T04:00:00Z,KANBAN,MOROOKA,24595,2024-03-27T12:58:38.107Z,,MAIN,PROD-HNS-W2,40,1450.61,da-ix,3,0,8.24166664481163,date,False
267,18823,18823-03,MOR-C9.3-FUEL-PRIME,"C9.3-FUEL-PRIME, A-08525-802, FUEL PRIMING PUMP HARNESS FOR C9.3B ENGINE (used on 4000 & 4500 vehicles)",1,2024-05-08T04:00:00Z,KANBAN,MOROOKA,24595,2024-03-27T12:58:38.107Z,,MAIN,PROD-HNS-W2,40,164.01,da-ixr,3,0,2.139166682958603,date,False
268,18823,18823-07,MOR-C3.6-DEF,"C3.6-DEF, A-08625-802, DEF HARNESS FOR CATERPILLAR C3.6 ENGINE",3,2024-05-08T04:00:00Z,KANBAN,MOROOKA,24595,2024-03-27T12:58:38.107Z,,MAIN,PROD-HNS-W2,40,330.84,da-r,5,0,9.241666585206985,kbn,False
269,18823,18823-04,MOR-STG5-DEF-EXT,"STG5-DEF-EXT, AFTERTREATMENT EXTENSION FOR STAGE 5 ENGINE",15,2024-05-08T04:00:00Z,KANBAN,MOROOKA,24595,2024-03-27T12:58:38.107Z,,MAIN,PROD-HNS-W2,40,52.52,da-r,15,0,5.356798380613327,kbn,False
272,18823,18823-08,MOR-1000-FWD,"1000-FWD, A-08425-804, FORWARD CONTROL HARNESS FOR 1000",10,2024-05-08T04:00:00Z,KANBAN,MOROOKA,24595,2024-03-27T12:58:38.107Z,,MAIN,PROD-HNS-W2,40,115.8,da-r,10,0,6.063889071345329,kbn,False
314,18881,18881-01,SOUTH-PANEL,"PANEL, 4 AWG, 20FT PANEL HARNESS",24,2024-07-03T04:00:00Z,KANBAN,SOUTH,V1310417,2024-04-17T13:52:32.543Z,,POMPANO BEACH,PROD-HNS-W1,40,155.36,da-u,48,0,48.5333337187767,kbn,False
315,18881,18881-02,SOUTH-STOP-START,"STOP-START, 20FT PANEL HARNESS",18,2024-05-29T04:00:00Z,KANBAN,SOUTH,V1310417,2024-04-17T13:52:32.543Z,,POMPANO BEACH,PROD-HNS-W1,40,131.48,da-r,48,0,22.659649908542633,kbn,False
376,18971,18971-01,MOR-C3.6-DEF-EXT,"C3.6-DEF-EXT, DEF EXTENSION HARNESS FOR C3.6 ENGINE",1,2024-05-17T04:00:00Z,KANBAN,MOROOKA,24934,2024-05-10T17:11:19.4Z,,MAIN,PROD-HNS-W2,30,189.89,da-i,4,0,3.861111208796501,,False
